Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Differential pressure across DPF bar,Engine speed rpm,Current engine torque Nm,Current speed of the turbocharger rpm,Regeneration requested,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Control deviation of the EGR rate,Duty cycle - EGR cooler bypass %,EGR valve - target position %,EGR valve - output duty cycle %,Tank level - fuel l,Fuel temperature ° C,Amount of fuel consumed ul,Fuel feed pressure - filtered bar,Calculated load value (OBD PID 04) %,Ratio of current torque to maximum torque %,Wheel torque ratio %,Setpoint internal torque Nm,Requested wheel torque after filtering Nm,Engine oil temperature in the oil sump ° C,Gear,Current recalculated internal engine torque Nm,Actual value of oil pressure bar,Exhaust gas temperature upstream of the catalyst ° C,Base boost pressure setpoint bar,Transmission oil temperature ° C,Exhaust gas temperature upstream of the catalyst - corrected value ° C,Temperature in front of the SCR catalytic converter ° C,Vehicle speed km/h
0.0000,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,968.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,12.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,12.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,12.00,0.01,-0.01,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,12.00,0.01,-0.01,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,12.00,0.01,-0.01,77.00,0.00,30.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0010,85.00,186.00,77.00,0.02,10.82,0.01,968.00,9.51,26738.00,0.00,0.00,34.90,8738.00,1.54,0.00,37.00,15.00,48.99,24.00,228.03,3.95,28.00,28.00,12.00,0.01,-0.01,77.00,0.00,30.56,1.39,0.00,0.00,0.00,0.00,0.00,0.00
