Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,0.00,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,0.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,0.00
0.0000,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4524.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.3500,86.00,203.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,203.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
0.7460,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4525.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.0940,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.4440,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.4450,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,829.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
1.7710,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4526.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.0860,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.4010,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,830.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
2.7300,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,84.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,831.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,832.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,832.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,832.00,0.00,0.00,31.01,4527.00,125960.00
3.1760,86.00,202.00,83.00,0.03,9.31,0.00,832.00,0.00,0.00,31.01,4527.00,125960.00
