Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.00,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,0.00,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,0.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,0.00
0.0000,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7368.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.4360,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,829.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
0.9660,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7369.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.3430,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
1.7110,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0900,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0900,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0900,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0900,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.0910,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4560,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7370.00,125960.00
2.4570,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.4570,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
2.8340,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,826.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7371.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.3300,87.00,183.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,183.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,846.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
3.7140,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,832.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7372.00,125960.00
4.1260,87.00,184.00,85.00,0.74,11.90,0.00,830.00,0.01,0.00,31.01,7372.00,125960.00
