Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration locked,Regeneration requested,Engine speed rpm,Oil ash mass in DPF g,Operating time since last successful regeneration,Differential pressure across DPF bar,Remaining distance of the DPF km
0.0000,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,0.00,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,0.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,13039.00,0.00,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,13039.00,0.01,0.00
0.0000,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,13039.00,0.01,129040.00
0.3300,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,13039.00,0.01,129040.00
0.3300,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,13039.00,0.01,129040.00
0.3300,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,13039.00,0.01,129040.00
0.3300,49.00,79.00,39.00,0.00,12.51,0.00,0.00,829.00,30.23,13039.00,0.01,129040.00
