Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration locked,Regeneration requested,Engine speed rpm,Oil ash mass in DPF g,Operating time since last successful regeneration,Differential pressure across DPF bar,Remaining distance of the DPF km
0.0000,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,0.00,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,0.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.00,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,0.00
0.0000,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1305.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1302.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1302.00,30.23,12230.00,0.01,129040.00
0.2970,53.00,92.00,35.00,0.07,11.89,0.00,0.00,1302.00,30.23,12230.00,0.01,129040.00
