Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,1412.00,0.00,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,0.00,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,0.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,0.00
0.0000,83.00,434.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,434.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1412.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.3890,83.00,433.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,433.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1386.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
0.7450,83.00,432.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
1.1110,83.00,432.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
1.1120,83.00,431.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
1.1120,83.00,431.00,45.00,0.35,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
1.1120,83.00,431.00,45.00,0.34,19.26,0.00,1394.00,0.02,0.00,30.27,25097.00,128880.00
