Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,0.00,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,0.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,0.00
0.0000,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,827.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.00,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.3300,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
0.6660,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,831.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15265.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.0110,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,833.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.3440,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
1.6710,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,834.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15266.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.0210,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.3550,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.3550,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.3550,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.3550,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.3550,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.3550,89.00,201.00,82.00,0.74,13.55,0.00,830.00,0.01,0.00,31.01,15267.00,125960.00
2.3550,89.00,201.00,82.00,0.74,13.55,0.00,832.00,0.01,0.00,31.01,15267.00,125960.00
