Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,6.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.00,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,0.00,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,0.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,0.00
0.0000,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,125960.00
0.2770,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,125960.00
0.2770,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,125960.00
0.2770,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,125960.00
0.2770,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,125960.00
0.2770,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,125960.00
0.2770,70.00,111.00,60.00,0.00,23.48,6.00,831.00,0.01,0.00,31.01,31397.00,125960.00
0.2770,70.00,111.00,60.00,0.00,23.48,6.00,830.00,0.01,0.00,31.01,31397.00,125960.00
