Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration locked,Regeneration requested,Engine speed rpm,Oil ash mass in DPF g,Operating time since last successful regeneration,Differential pressure across DPF bar,Remaining distance of the DPF km
0.0000,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,0.00,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,0.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.00,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,0.00
0.0000,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,830.00,30.23,9835.00,0.01,129040.00
0.2980,85.00,193.00,85.00,0.00,10.93,0.00,0.00,828.00,30.23,9835.00,0.01,129040.00
