Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration locked,Regeneration requested,Engine speed rpm,Oil ash mass in DPF g,Operating time since last successful regeneration,Differential pressure across DPF bar,Remaining distance of the DPF km
0.0000,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,0.00,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,0.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.00,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,0.00
0.0000,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,844.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15265.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.2780,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
0.5430,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
1.0680,23.00,51.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
1.0680,23.00,52.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
1.0680,23.00,52.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
1.0680,23.00,52.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
1.0680,23.00,52.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
1.0680,23.00,52.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
1.0680,23.00,52.00,16.00,0.00,13.40,0.00,0.00,846.00,30.23,15266.00,0.01,129040.00
