Time,Coolant temperature  C,Exhaust gas temperature in front of the DPF  C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration requested,Engine speed rpm,Differential pressure across DPF bar,Regeneration locked,Oil ash mass in DPF g,Operating time since last successful regeneration,Remaining distance of the DPF km
0.0000,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.00,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,0.00,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,31.01,0.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,0.00
0.0000,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.31,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1576.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.3690,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.3700,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1544.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
0.7310,84.00,231.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,231.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1528.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6386.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.0830,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.30,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1532.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.4930,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.32,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1525.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6387.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
1.8760,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.33,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1526.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1556.00,0.01,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.2570,84.00,232.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,232.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.35,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.37,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.37,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.37,11.37,0.00,1556.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.37,11.37,0.00,1579.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.37,11.37,0.00,1579.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.37,11.37,0.00,1579.00,0.02,0.00,31.01,6388.00,125960.00
2.6230,84.00,233.00,52.00,0.37,11.37,0.00,1579.00,0.02,0.00,31.01,6388.00,125960.00
