Time,Coolant temperature ° C,Exhaust gas temperature in front of the DPF ° C,Engine oil temperature C,Boost pressure bar,Soot mass in DPF g,Regeneration locked,Regeneration requested,Engine speed rpm,Oil ash mass in DPF g,Operating time since last successful regeneration,Differential pressure across DPF bar,Remaining distance of the DPF km
0.0000,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,0.00,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,0.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.00,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,0.00
0.0000,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18203.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.3200,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,833.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.6340,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,830.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
0.9630,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,828.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18204.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.3130,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6380,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6380,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6380,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6380,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6380,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6380,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6390,74.00,139.00,56.00,0.73,14.33,0.00,0.00,831.00,30.23,18205.00,0.01,129040.00
1.6390,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
1.6390,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
1.6390,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
1.6390,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
1.6390,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
2.0580,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
2.0580,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
2.0580,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
2.0580,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
2.0580,74.00,139.00,56.00,0.73,14.33,0.00,0.00,829.00,30.23,18205.00,0.01,129040.00
